Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
2425,05/04/2025,Ipswich,Wolves,1,2,A,2.7,3.25,2.63
2425,05/04/2025,West Ham,Bournemouth,2,2,D,3.0,3.5,2.3
2425,05/04/2025,Aston Villa,Nott'm Forest,2,1,H,1.95,3.6,3.7
2425,06/04/2025,Brentford,Chelsea,0,0,D,3.2,3.6,2.15
2425,06/04/2025,Fulham,Liverpool,3,2,H,4.5,3.5,1.83
2425,06/04/2025,Tottenham,Southampton,3,1,H,1.38,5.5,6.5
2425,06/04/2025,Man United,Man City,0,0,D,3.4,3.6,2.1
2425,07/04/2025,Leicester,Newcastle,0,3,A,6.5,4.2,1.48
2425,12/04/2025,Man City,Crystal Palace,5,2,H,1.5,4.75,5.75
2425,12/04/2025,Brighton,Leicester,2,2,D,1.29,6.0,10.0
2425,12/04/2025,Nott'm Forest,Everton,0,1,A,2.1,3.3,3.7
2425,12/04/2025,Southampton,Aston Villa,0,3,A,6.0,4.2,1.55
2425,12/04/2025,Arsenal,Brentford,1,1,D,1.6,4.33,5.0
2425,13/04/2025,Chelsea,Ipswich,2,2,D,1.27,7.0,8.5
2425,13/04/2025,Liverpool,West Ham,2,1,H,1.3,6.0,8.0
2425,13/04/2025,Wolves,Tottenham,4,2,H,2.2,3.6,3.1
2425,13/04/2025,Newcastle,Man United,4,1,H,1.65,4.2,4.75
2425,14/04/2025,Bournemouth,Fulham,1,0,H,2.15,3.5,3.3
2425,16/04/2025,Newcastle,Crystal Palace,5,0,H,1.67,3.9,5.0
2425,19/04/2025,Brentford,Brighton,4,2,H,2.4,3.75,2.63
2425,19/04/2025,Crystal Palace,Bournemouth,0,0,D,2.45,3.6,2.63
2425,19/04/2025,Everton,Man City,0,2,A,3.7,3.6,1.91
2425,19/04/2025,West Ham,Southampton,1,1,D,1.48,4.33,6.5
2425,19/04/2025,Aston Villa,Newcastle,4,1,H,2.3,3.6,2.75
2425,20/04/2025,Fulham,Chelsea,1,2,A,2.7,3.7,2.35
2425,20/04/2025,Ipswich,Arsenal,0,4,A,8.0,4.5,1.4
2425,20/04/2025,Man United,Wolves,0,1,A,2.0,3.6,3.6
2425,20/04/2025,Leicester,Liverpool,0,1,A,11.0,6.25,1.22
2425,21/04/2025,Tottenham,Nott'm Forest,1,2,A,2.45,3.6,2.63
2425,22/04/2025,Man City,Aston Villa,2,1,H,1.8,4.1,3.9
2425,23/04/2025,Arsenal,Crystal Palace,2,2,D,1.4,4.75,7.5
2425,26/04/2025,Chelsea,Everton,1,0,H,1.55,4.0,6.0
2425,26/04/2025,Brighton,West Ham,3,2,H,1.67,4.2,4.75
2425,26/04/2025,Newcastle,Ipswich,3,0,H,1.18,7.5,13.0
2425,26/04/2025,Southampton,Fulham,1,2,A,5.25,4.0,1.6
2425,26/04/2025,Wolves,Leicester,3,0,H,1.5,4.2,6.25
2425,27/04/2025,Bournemouth,Man United,1,1,D,1.67,4.0,4.5
2425,27/04/2025,Liverpool,Tottenham,5,1,H,1.25,6.0,11.0
2425,01/05/2025,Nott'm Forest,Brentford,0,2,A,2.15,3.5,3.25
2425,02/05/2025,Man City,Wolves,1,0,H,1.4,4.75,7.5
2425,03/05/2025,Aston Villa,Fulham,1,0,H,1.77,3.75,4.5
2425,03/05/2025,Everton,Ipswich,2,2,D,1.45,4.33,6.5
2425,03/05/2025,Leicester,Southampton,2,0,H,2.3,3.6,2.88
2425,03/05/2025,Arsenal,Bournemouth,1,2,A,2.05,3.7,3.4
2425,04/05/2025,Brentford,Man United,4,3,H,1.65,4.1,4.75
2425,04/05/2025,Brighton,Newcastle,1,1,D,2.88,3.7,2.3
2425,04/05/2025,West Ham,Tottenham,1,1,D,2.1,3.7,3.25
2425,04/05/2025,Chelsea,Liverpool,3,1,H,2.15,3.7,3.1
2425,05/05/2025,Crystal Palace,Nott'm Forest,1,1,D,2.25,3.4,3.2
2425,10/05/2025,Fulham,Everton,1,3,A,1.82,3.4,4.5
2425,10/05/2025,Ipswich,Brentford,0,1,A,5.0,4.0,1.65
2425,10/05/2025,Southampton,Man City,0,0,D,11.0,7.5,1.2
2425,10/05/2025,Wolves,Brighton,0,2,A,2.7,3.5,2.5
2425,10/05/2025,Bournemouth,Aston Villa,0,1,A,2.4,3.6,2.75
2425,11/05/2025,Newcastle,Chelsea,2,0,H,2.1,3.75,3.1
2425,11/05/2025,Man United,West Ham,0,2,A,1.9,3.6,4.0
2425,11/05/2025,Nott'm Forest,Leicester,2,2,D,1.33,5.25,8.0
2425,11/05/2025,Tottenham,Crystal Palace,0,2,A,2.63,3.6,2.5
2425,11/05/2025,Liverpool,Arsenal,2,2,D,2.0,3.6,3.6
2425,16/05/2025,Aston Villa,Tottenham,2,0,H,1.3,6.0,8.5
2425,16/05/2025,Chelsea,Man United,1,0,H,1.44,5.0,6.25
2425,18/05/2025,Everton,Southampton,2,0,H,1.4,4.75,7.5
2425,18/05/2025,West Ham,Nott'm Forest,1,2,A,2.75,3.3,2.55
2425,18/05/2025,Brentford,Fulham,2,3,A,1.91,3.9,3.6
2425,18/05/2025,Leicester,Ipswich,2,0,H,2.3,3.6,2.9
2425,18/05/2025,Arsenal,Newcastle,1,0,H,1.95,3.7,3.7
2425,19/05/2025,Brighton,Liverpool,3,2,H,2.6,3.75,2.45
2425,20/05/2025,Crystal Palace,Wolves,4,2,H,2.25,3.3,3.2
2425,20/05/2025,Man City,Bournemouth,3,1,H,1.55,4.33,5.75
2425,25/05/2025,Bournemouth,Leicester,2,0,H,1.33,5.25,8.5
2425,25/05/2025,Fulham,Man City,0,2,A,5.0,4.2,1.6
2425,25/05/2025,Ipswich,West Ham,1,3,A,3.0,3.8,2.2
2425,25/05/2025,Liverpool,Crystal Palace,1,1,D,1.4,6.0,5.75
2425,25/05/2025,Man United,Aston Villa,2,0,H,4.33,4.2,1.7
2425,25/05/2025,Newcastle,Everton,0,1,A,1.33,5.5,8.5
2425,25/05/2025,Nott'm Forest,Chelsea,0,1,A,3.0,3.75,2.2
2425,25/05/2025,Southampton,Arsenal,1,2,A,8.5,6.0,1.3
2425,25/05/2025,Tottenham,Brighton,1,4,A,4.2,4.33,1.7
2425,25/05/2025,Wolves,Brentford,1,1,D,2.7,3.7,2.45
